Word,Frequency,Posting List 
caraca,4,"[('http://example.python-scraping.com/places/default/iso/VE', 71), ('http://example.python-scraping.com/places/default/view/Venezuela-240', 71), ('http://example.python-scraping.com/places/default/iso/VE', 71), ('http://example.python-scraping.com/places/default/view/Venezuela-240', 71)]"
castri,2,"[('http://example.python-scraping.com/places/default/view/Saint-Lucia-185', 73), ('http://example.python-scraping.com/places/default/view/Saint-Lucia-185', 73)]"
cayenn,4,"[('http://example.python-scraping.com/places/default/view/French-Guiana-75', 75), ('http://example.python-scraping.com/places/default/iso/GF', 75), ('http://example.python-scraping.com/places/default/view/French-Guiana-75', 75), ('http://example.python-scraping.com/places/default/iso/GF', 75)]"
cayman,2,"[('http://example.python-scraping.com/places/default/view/Cayman-Islands-43', 55), ('http://example.python-scraping.com/places/default/view/Cayman-Islands-43', 55)]"
cc,4,"[('http://example.python-scraping.com/places/default/view/Cocos-Islands-48', 35), ('http://example.python-scraping.com/places/default/view/Cocos-Islands-48', 96), ('http://example.python-scraping.com/places/default/view/Cocos-Islands-48', 35), ('http://example.python-scraping.com/places/default/view/Cocos-Islands-48', 96)]"
cd,8,"[('http://example.python-scraping.com/places/default/iso/CD', 35), ('http://example.python-scraping.com/places/default/iso/CD', 110), ('http://example.python-scraping.com/places/default/view/Democratic-Republic-of-the-Congo-58', 35), ('http://example.python-scraping.com/places/default/view/Democratic-Republic-of-the-Congo-58', 110), ('http://example.python-scraping.com/places/default/iso/CD', 35), ('http://example.python-scraping.com/places/default/iso/CD', 110), ('http://example.python-scraping.com/places/default/view/Democratic-Republic-of-the-Congo-58', 35), ('http://example.python-scraping.com/places/default/view/Democratic-Republic-of-the-Congo-58', 110)]"
cdf,4,"[('http://example.python-scraping.com/places/default/iso/CD', 126), ('http://example.python-scraping.com/places/default/view/Democratic-Republic-of-the-Congo-58', 126), ('http://example.python-scraping.com/places/default/iso/CD', 126), ('http://example.python-scraping.com/places/default/view/Democratic-Republic-of-the-Congo-58', 126)]"
cedi,4,"[('http://example.python-scraping.com/places/default/view/Ghana-82', 116), ('http://example.python-scraping.com/places/default/iso/GH', 116), ('http://example.python-scraping.com/places/default/view/Ghana-82', 116), ('http://example.python-scraping.com/places/default/iso/GH', 116)]"
central,4,"[('http://example.python-scraping.com/places/default/view/Central-African-Republic-44', 55), ('http://example.python-scraping.com/places/default/iso/CF', 55), ('http://example.python-scraping.com/places/default/view/Central-African-Republic-44', 55), ('http://example.python-scraping.com/places/default/iso/CF', 55)]"
cf,8,"[('http://example.python-scraping.com/places/default/view/Central-African-Republic-44', 35), ('http://example.python-scraping.com/places/default/view/Central-African-Republic-44', 102), ('http://example.python-scraping.com/places/default/iso/CF', 35), ('http://example.python-scraping.com/places/default/iso/CF', 102), ('http://example.python-scraping.com/places/default/view/Central-African-Republic-44', 35), ('http://example.python-scraping.com/places/default/view/Central-African-Republic-44', 102), ('http://example.python-scraping.com/places/default/iso/CF', 35), ('http://example.python-scraping.com/places/default/iso/CF', 102)]"
cg,8,"[('http://example.python-scraping.com/places/default/iso/CG', 35), ('http://example.python-scraping.com/places/default/iso/CG', 102), ('http://example.python-scraping.com/places/default/view/Republic-of-the-Congo-177', 35), ('http://example.python-scraping.com/places/default/view/Republic-of-the-Congo-177', 102), ('http://example.python-scraping.com/places/default/iso/CG', 35), ('http://example.python-scraping.com/places/default/iso/CG', 102), ('http://example.python-scraping.com/places/default/view/Republic-of-the-Congo-177', 35), ('http://example.python-scraping.com/places/default/view/Republic-of-the-Congo-177', 102)]"
ch,8,"[('http://example.python-scraping.com/places/default/view/Switzerland-215', 35), ('http://example.python-scraping.com/places/default/view/Switzerland-215', 89), ('http://example.python-scraping.com/places/default/iso/CH', 35), ('http://example.python-scraping.com/places/default/iso/CH', 89), ('http://example.python-scraping.com/places/default/view/Switzerland-215', 35), ('http://example.python-scraping.com/places/default/view/Switzerland-215', 89), ('http://example.python-scraping.com/places/default/iso/CH', 35), ('http://example.python-scraping.com/places/default/iso/CH', 89)]"
chad,4,"[('http://example.python-scraping.com/places/default/view/Chad-45', 55), ('http://example.python-scraping.com/places/default/iso/TD', 55), ('http://example.python-scraping.com/places/default/view/Chad-45', 55), ('http://example.python-scraping.com/places/default/iso/TD', 55)]"
charlott,2,"[('http://example.python-scraping.com/places/default/view/US-Virgin-Islands-229', 78), ('http://example.python-scraping.com/places/default/view/US-Virgin-Islands-229', 78)]"
chf,8,"[('http://example.python-scraping.com/places/default/view/Liechtenstein-123', 108), ('http://example.python-scraping.com/places/default/view/Switzerland-215', 105), ('http://example.python-scraping.com/places/default/iso/CH', 105), ('http://example.python-scraping.com/places/default/iso/LI', 108), ('http://example.python-scraping.com/places/default/view/Liechtenstein-123', 108), ('http://example.python-scraping.com/places/default/view/Switzerland-215', 105), ('http://example.python-scraping.com/places/default/iso/CH', 105), ('http://example.python-scraping.com/places/default/iso/LI', 108)]"
chile,4,"[('http://example.python-scraping.com/places/default/iso/CL', 55), ('http://example.python-scraping.com/places/default/view/Chile-46', 55), ('http://example.python-scraping.com/places/default/iso/CL', 55), ('http://example.python-scraping.com/places/default/view/Chile-46', 55)]"
chisinau,4,"[('http://example.python-scraping.com/places/default/view/Moldova-140', 69), ('http://example.python-scraping.com/places/default/iso/MD', 69), ('http://example.python-scraping.com/places/default/view/Moldova-140', 69), ('http://example.python-scraping.com/places/default/iso/MD', 69)]"
christma,2,"[('http://example.python-scraping.com/places/default/view/Christmas-Island-47', 55), ('http://example.python-scraping.com/places/default/view/Christmas-Island-47', 55)]"
ci,8,"[('http://example.python-scraping.com/places/default/view/Ivory-Coast-106', 35), ('http://example.python-scraping.com/places/default/view/Ivory-Coast-106', 97), ('http://example.python-scraping.com/places/default/iso/CI', 35), ('http://example.python-scraping.com/places/default/iso/CI', 97), ('http://example.python-scraping.com/places/default/view/Ivory-Coast-106', 35), ('http://example.python-scraping.com/places/default/view/Ivory-Coast-106', 97), ('http://example.python-scraping.com/places/default/iso/CI', 35), ('http://example.python-scraping.com/places/default/iso/CI', 97)]"
citi,20,"[('http://example.python-scraping.com/places/default/view/Kuwait-115', 75), ('http://example.python-scraping.com/places/default/view/Vatican-239', 77), ('http://example.python-scraping.com/places/default/view/Guatemala-89', 81), ('http://example.python-scraping.com/places/default/view/Mexico-138', 75), ('http://example.python-scraping.com/places/default/view/Panama-167', 75), ('http://example.python-scraping.com/places/default/iso/KW', 75), ('http://example.python-scraping.com/places/default/iso/VA', 77), ('http://example.python-scraping.com/places/default/iso/GT', 81), ('http://example.python-scraping.com/places/default/iso/MX', 75), ('http://example.python-scraping.com/places/default/iso/PA', 75), ('http://example.python-scraping.com/places/default/view/Kuwait-115', 75), ('http://example.python-scraping.com/places/default/view/Vatican-239', 77), ('http://example.python-scraping.com/places/default/view/Guatemala-89', 81), ('http://example.python-scraping.com/places/default/view/Mexico-138', 75), ('http://example.python-scraping.com/places/default/view/Panama-167', 75), ('http://example.python-scraping.com/places/default/iso/KW', 75), ('http://example.python-scraping.com/places/default/iso/VA', 77), ('http://example.python-scraping.com/places/default/iso/GT', 81), ('http://example.python-scraping.com/places/default/iso/MX', 75), ('http://example.python-scraping.com/places/default/iso/PA', 75)]"
ck,4,"[('http://example.python-scraping.com/places/default/view/Cook-Islands-51', 35), ('http://example.python-scraping.com/places/default/view/Cook-Islands-51', 91), ('http://example.python-scraping.com/places/default/view/Cook-Islands-51', 35), ('http://example.python-scraping.com/places/default/view/Cook-Islands-51', 91)]"
cl,8,"[('http://example.python-scraping.com/places/default/iso/CL', 35), ('http://example.python-scraping.com/places/default/iso/CL', 87), ('http://example.python-scraping.com/places/default/view/Chile-46', 35), ('http://example.python-scraping.com/places/default/view/Chile-46', 87), ('http://example.python-scraping.com/places/default/iso/CL', 35), ('http://example.python-scraping.com/places/default/iso/CL', 87), ('http://example.python-scraping.com/places/default/view/Chile-46', 35), ('http://example.python-scraping.com/places/default/view/Chile-46', 87)]"
clp,4,"[('http://example.python-scraping.com/places/default/iso/CL', 103), ('http://example.python-scraping.com/places/default/view/Chile-46', 103), ('http://example.python-scraping.com/places/default/iso/CL', 103), ('http://example.python-scraping.com/places/default/view/Chile-46', 103)]"
cm,8,"[('http://example.python-scraping.com/places/default/view/Cameroon-40', 35), ('http://example.python-scraping.com/places/default/view/Cameroon-40', 88), ('http://example.python-scraping.com/places/default/iso/CM', 35), ('http://example.python-scraping.com/places/default/iso/CM', 88), ('http://example.python-scraping.com/places/default/view/Cameroon-40', 35), ('http://example.python-scraping.com/places/default/view/Cameroon-40', 88), ('http://example.python-scraping.com/places/default/iso/CM', 35), ('http://example.python-scraping.com/places/default/iso/CM', 88)]"
cmnensgmssgtasgzhsg,2,"[('http://example.python-scraping.com/places/default/view/Singapore-198', 181), ('http://example.python-scraping.com/places/default/view/Singapore-198', 181)]"
co,8,"[('http://example.python-scraping.com/places/default/iso/CO', 35), ('http://example.python-scraping.com/places/default/iso/CO', 88), ('http://example.python-scraping.com/places/default/view/Colombia-49', 35), ('http://example.python-scraping.com/places/default/view/Colombia-49', 88), ('http://example.python-scraping.com/places/default/iso/CO', 35), ('http://example.python-scraping.com/places/default/iso/CO', 88), ('http://example.python-scraping.com/places/default/view/Colombia-49', 35), ('http://example.python-scraping.com/places/default/view/Colombia-49', 88)]"
coast,4,"[('http://example.python-scraping.com/places/default/view/Ivory-Coast-106', 61), ('http://example.python-scraping.com/places/default/iso/CI', 61), ('http://example.python-scraping.com/places/default/view/Ivory-Coast-106', 61), ('http://example.python-scraping.com/places/default/iso/CI', 61)]"
cockburn,2,"[('http://example.python-scraping.com/places/default/view/Turks-and-Caicos-Islands-227', 83), ('http://example.python-scraping.com/places/default/view/Turks-and-Caicos-Islands-227', 83)]"
coco,2,"[('http://example.python-scraping.com/places/default/view/Cocos-Islands-48', 55), ('http://example.python-scraping.com/places/default/view/Cocos-Islands-48', 55)]"
