Word,Frequency,Posting List
al,8,"[('http://example.python-scraping.com/places/default/view/Albania-3', 35), ('http://example.python-scraping.com/places/default/view/Albania-3', 87), ('http://example.python-scraping.com/places/default/iso/AL', 35), ('http://example.python-scraping.com/places/default/iso/AL', 87), ('http://example.python-scraping.com/places/default/view/Albania-3', 35), ('http://example.python-scraping.com/places/default/view/Albania-3', 87), ('http://example.python-scraping.com/places/default/iso/AL', 35), ('http://example.python-scraping.com/places/default/iso/AL', 87)]"
aland,2,"[('http://example.python-scraping.com/places/default/view/Aland-Islands-2', 55), ('http://example.python-scraping.com/places/default/view/Aland-Islands-2', 55)]"
albania,4,"[('http://example.python-scraping.com/places/default/view/Albania-3', 55), ('http://example.python-scraping.com/places/default/iso/AL', 55), ('http://example.python-scraping.com/places/default/view/Albania-3', 55), ('http://example.python-scraping.com/places/default/iso/AL', 55)]"
algeria,4,"[('http://example.python-scraping.com/places/default/view/Algeria-4', 55), ('http://example.python-scraping.com/places/default/iso/DZ', 55), ('http://example.python-scraping.com/places/default/view/Algeria-4', 55), ('http://example.python-scraping.com/places/default/iso/DZ', 55)]"
algier,4,"[('http://example.python-scraping.com/places/default/view/Algeria-4', 69), ('http://example.python-scraping.com/places/default/iso/DZ', 69), ('http://example.python-scraping.com/places/default/view/Algeria-4', 69), ('http://example.python-scraping.com/places/default/iso/DZ', 69)]"
all,4,"[('http://example.python-scraping.com/places/default/view/Albania-3', 103), ('http://example.python-scraping.com/places/default/iso/AL', 103), ('http://example.python-scraping.com/places/default/view/Albania-3', 103), ('http://example.python-scraping.com/places/default/iso/AL', 103)]"
alofi,2,"[('http://example.python-scraping.com/places/default/view/Niue-158', 66), ('http://example.python-scraping.com/places/default/view/Niue-158', 66)]"
am,8,"[('http://example.python-scraping.com/places/default/view/Armenia-12', 35), ('http://example.python-scraping.com/places/default/view/Armenia-12', 88), ('http://example.python-scraping.com/places/default/iso/AM', 35), ('http://example.python-scraping.com/places/default/iso/AM', 88), ('http://example.python-scraping.com/places/default/view/Armenia-12', 35), ('http://example.python-scraping.com/places/default/view/Armenia-12', 88), ('http://example.python-scraping.com/places/default/iso/AM', 35), ('http://example.python-scraping.com/places/default/iso/AM', 88)]"
amali,2,"[('http://example.python-scraping.com/places/default/view/US-Virgin-Islands-229', 87), ('http://example.python-scraping.com/places/default/view/US-Virgin-Islands-229', 87)]"
amd,4,"[('http://example.python-scraping.com/places/default/view/Armenia-12', 104), ('http://example.python-scraping.com/places/default/iso/AM', 104), ('http://example.python-scraping.com/places/default/view/Armenia-12', 104), ('http://example.python-scraping.com/places/default/iso/AM', 104)]"
amenetomettietsoetsid,4,"[('http://example.python-scraping.com/places/default/view/Ethiopia-70', 181), ('http://example.python-scraping.com/places/default/iso/ET', 181), ('http://example.python-scraping.com/places/default/view/Ethiopia-70', 181), ('http://example.python-scraping.com/places/default/iso/ET', 181)]"
america,4,"[('http://example.python-scraping.com/places/default/continent/NA', 6), ('http://example.python-scraping.com/places/default/continent/SA', 6), ('http://example.python-scraping.com/places/default/continent/NA', 6), ('http://example.python-scraping.com/places/default/continent/SA', 6)]"
american,2,"[('http://example.python-scraping.com/places/default/view/American-Samoa-5', 55), ('http://example.python-scraping.com/places/default/view/American-Samoa-5', 55)]"
amman,4,"[('http://example.python-scraping.com/places/default/view/Jordan-110', 68), ('http://example.python-scraping.com/places/default/iso/JO', 68), ('http://example.python-scraping.com/places/default/view/Jordan-110', 68), ('http://example.python-scraping.com/places/default/iso/JO', 68)]"
amsterdam,4,"[('http://example.python-scraping.com/places/default/view/Netherlands-151', 72), ('http://example.python-scraping.com/places/default/iso/NL', 72), ('http://example.python-scraping.com/places/default/view/Netherlands-151', 72), ('http://example.python-scraping.com/places/default/iso/NL', 72)]"
an,8,"[('http://example.python-scraping.com/places/default/view/Netherlands-Antilles-152', 35), ('http://example.python-scraping.com/places/default/view/Netherlands-Antilles-152', 100), ('http://example.python-scraping.com/places/default/iso/AN', 35), ('http://example.python-scraping.com/places/default/iso/AN', 100), ('http://example.python-scraping.com/places/default/view/Netherlands-Antilles-152', 35), ('http://example.python-scraping.com/places/default/view/Netherlands-Antilles-152', 100), ('http://example.python-scraping.com/places/default/iso/AN', 35), ('http://example.python-scraping.com/places/default/iso/AN', 100)]"
and,38,"[('http://example.python-scraping.com/places/default/view/Antigua-and-Barbuda-10', 63), ('http://example.python-scraping.com/places/default/iso/CS', 62), ('http://example.python-scraping.com/places/default/view/Bosnia-and-Herzegovina-29', 62), ('http://example.python-scraping.com/places/default/view/Serbia-and-Montenegro-195', 62), ('http://example.python-scraping.com/places/default/view/Svalbard-and-Jan-Mayen-212', 64), ('http://example.python-scraping.com/places/default/iso/BA', 62), ('http://example.python-scraping.com/places/default/view/Sao-Tome-and-Principe-191', 64), ('http://example.python-scraping.com/places/default/view/Bonaire-Saint-Eustatius-and-Saba-28', 77), ('http://example.python-scraping.com/places/default/view/Dominican-Republic-62', 147), ('http://example.python-scraping.com/places/default/view/Puerto-Rico-175', 139), ('http://example.python-scraping.com/places/default/view/Saint-Kitts-and-Nevis-184', 66), ('http://example.python-scraping.com/places/default/view/Saint-Pierre-and-Miquelon-187', 67), ('http://example.python-scraping.com/places/default/view/Saint-Vincent-and-the-Grenadines-188', 69), ('http://example.python-scraping.com/places/default/view/Trinidad-and-Tobago-223', 64), ('http://example.python-scraping.com/places/default/view/Turks-and-Caicos-Islands-227', 60), ('http://example.python-scraping.com/places/default/view/Heard-Island-and-McDonald-Islands-95', 68), ('http://example.python-scraping.com/places/default/iso/DO', 147), ('http://example.python-scraping.com/places/default/view/South-Georgia-and-the-South-Sandwich-Islands-205', 69), ('http://example.python-scraping.com/places/default/view/Wallis-and-Futuna-242', 61), ('http://example.python-scraping.com/places/default/view/Antigua-and-Barbuda-10', 63), ('http://example.python-scraping.com/places/default/iso/CS', 62), ('http://example.python-scraping.com/places/default/view/Bosnia-and-Herzegovina-29', 62), ('http://example.python-scraping.com/places/default/view/Serbia-and-Montenegro-195', 62), ('http://example.python-scraping.com/places/default/view/Svalbard-and-Jan-Mayen-212', 64), ('http://example.python-scraping.com/places/default/iso/BA', 62), ('http://example.python-scraping.com/places/default/view/Sao-Tome-and-Principe-191', 64), ('http://example.python-scraping.com/places/default/view/Bonaire-Saint-Eustatius-and-Saba-28', 77), ('http://example.python-scraping.com/places/default/view/Dominican-Republic-62', 147), ('http://example.python-scraping.com/places/default/view/Puerto-Rico-175', 139), ('http://example.python-scraping.com/places/default/view/Saint-Kitts-and-Nevis-184', 66), ('http://example.python-scraping.com/places/default/view/Saint-Pierre-and-Miquelon-187', 67), ('http://example.python-scraping.com/places/default/view/Saint-Vincent-and-the-Grenadines-188', 69), ('http://example.python-scraping.com/places/default/view/Trinidad-and-Tobago-223', 64), ('http://example.python-scraping.com/places/default/view/Turks-and-Caicos-Islands-227', 60), ('http://example.python-scraping.com/places/default/view/Heard-Island-and-McDonald-Islands-95', 68), ('http://example.python-scraping.com/places/default/iso/DO', 147), ('http://example.python-scraping.com/places/default/view/South-Georgia-and-the-South-Sandwich-Islands-205', 69), ('http://example.python-scraping.com/places/default/view/Wallis-and-Futuna-242', 61)]"
andorra,8,"[('http://example.python-scraping.com/places/default/view/Andorra-6', 55), ('http://example.python-scraping.com/places/default/view/Andorra-6', 69), ('http://example.python-scraping.com/places/default/iso/AD', 55), ('http://example.python-scraping.com/places/default/iso/AD', 69), ('http://example.python-scraping.com/places/default/view/Andorra-6', 55), ('http://example.python-scraping.com/places/default/view/Andorra-6', 69), ('http://example.python-scraping.com/places/default/iso/AD', 55), ('http://example.python-scraping.com/places/default/iso/AD', 69)]"
ang,10,"[('http://example.python-scraping.com/places/default/view/Curacao-55', 107), ('http://example.python-scraping.com/places/default/view/Netherlands-Antilles-152', 116), ('http://example.python-scraping.com/places/default/view/Sint-Maarten-199', 113), ('http://example.python-scraping.com/places/default/iso/AN', 116), ('http://example.python-scraping.com/places/default/iso/SX', 113), ('http://example.python-scraping.com/places/default/view/Curacao-55', 107), ('http://example.python-scraping.com/places/default/view/Netherlands-Antilles-152', 116), ('http://example.python-scraping.com/places/default/view/Sint-Maarten-199', 113), ('http://example.python-scraping.com/places/default/iso/AN', 116), ('http://example.python-scraping.com/places/default/iso/SX', 113)]"
angola,4,"[('http://example.python-scraping.com/places/default/view/Angola-7', 55), ('http://example.python-scraping.com/places/default/iso/AO', 55), ('http://example.python-scraping.com/places/default/view/Angola-7', 55), ('http://example.python-scraping.com/places/default/iso/AO', 55)]"
anguilla,2,"[('http://example.python-scraping.com/places/default/view/Anguilla-8', 55), ('http://example.python-scraping.com/places/default/view/Anguilla-8', 55)]"
ankara,4,"[('http://example.python-scraping.com/places/default/view/Turkey-225', 68), ('http://example.python-scraping.com/places/default/iso/TR', 68), ('http://example.python-scraping.com/places/default/view/Turkey-225', 68), ('http://example.python-scraping.com/places/default/iso/TR', 68)]"
antananarivo,2,"[('http://example.python-scraping.com/places/default/view/Madagascar-127', 72), ('http://example.python-scraping.com/places/default/view/Madagascar-127', 72)]"
antarctica,2,"[('http://example.python-scraping.com/places/default/view/Antarctica-9', 55), ('http://example.python-scraping.com/places/default/view/Antarctica-9', 55)]"
antigua,2,"[('http://example.python-scraping.com/places/default/view/Antigua-and-Barbuda-10', 55), ('http://example.python-scraping.com/places/default/view/Antigua-and-Barbuda-10', 55)]"
antil,4,"[('http://example.python-scraping.com/places/default/view/Netherlands-Antilles-152', 66), ('http://example.python-scraping.com/places/default/iso/AN', 66), ('http://example.python-scraping.com/places/default/view/Netherlands-Antilles-152', 66), ('http://example.python-scraping.com/places/default/iso/AN', 66)]"
antractica,2,"[('http://example.python-scraping.com/places/default/continent/AN', 0), ('http://example.python-scraping.com/places/default/continent/AN', 0)]"
ao,8,"[('http://example.python-scraping.com/places/default/view/Angola-7', 35), ('http://example.python-scraping.com/places/default/view/Angola-7', 86), ('http://example.python-scraping.com/places/default/iso/AO', 35), ('http://example.python-scraping.com/places/default/iso/AO', 86), ('http://example.python-scraping.com/places/default/view/Angola-7', 35), ('http://example.python-scraping.com/places/default/view/Angola-7', 86), ('http://example.python-scraping.com/places/default/iso/AO', 35), ('http://example.python-scraping.com/places/default/iso/AO', 86)]"
aoa,4,"[('http://example.python-scraping.com/places/default/view/Angola-7', 102), ('http://example.python-scraping.com/places/default/iso/AO', 102), ('http://example.python-scraping.com/places/default/view/Angola-7', 102), ('http://example.python-scraping.com/places/default/iso/AO', 102)]"
apia,2,"[('http://example.python-scraping.com/places/default/view/Samoa-189', 67), ('http://example.python-scraping.com/places/default/view/Samoa-189', 67)]"
aq,4,"[('http://example.python-scraping.com/places/default/view/Antarctica-9', 35), ('http://example.python-scraping.com/places/default/view/Antarctica-9', 83), ('http://example.python-scraping.com/places/default/view/Antarctica-9', 35), ('http://example.python-scraping.com/places/default/view/Antarctica-9', 83)]"
ar,12,"[('http://example.python-scraping.com/places/default/view/Argentina-11', 35), ('http://example.python-scraping.com/places/default/view/Argentina-11', 92), ('http://example.python-scraping.com/places/default/view/Argentina-11', 108), ('http://example.python-scraping.com/places/default/iso/AR', 35), ('http://example.python-scraping.com/places/default/iso/AR', 92), ('http://example.python-scraping.com/places/default/iso/AR', 108), ('http://example.python-scraping.com/places/default/view/Argentina-11', 35), ('http://example.python-scraping.com/places/default/view/Argentina-11', 92), ('http://example.python-scraping.com/places/default/view/Argentina-11', 108), ('http://example.python-scraping.com/places/default/iso/AR', 35), ('http://example.python-scraping.com/places/default/iso/AR', 92), ('http://example.python-scraping.com/places/default/iso/AR', 108)]"
